Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.163291684,7.116779267,5.181776082,6.699456682,6.636545139,6.584965408,2.91531036,5.295341864,5.260000826,7.658303091,4.117657622,5.44585558,6.964202918,3.690987646,1.822973134,5.199302437,3.4582306,3.953591265,3.804922881,2.162616899,3.503119534,-3.020265815,2.566062757,5.57186535,4.679245192,2.198162692,4.042276901,4.737653439,2.375486267,0.128976308,-2.120243594,0.854376227,2.607370705,4.554007981,2.738493942,1.67960446,4.253348131,4.138186975,4.997256139,5.12312241,1.68837419,2.801868061,1.925317461,3.138788259,3.163129626,2.621781686,2.008311016,1.175426272,-2.711471143,3.374254224,2.528184205,1.709005656,2.022016672,
East Asia and the Pacific (IFC classification),CEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.2163281,-3.765837686,0.503780972,3.712978224,5.457023434,4.19524201,3.07741257,2.702268978,2.417260532,3.91379348,3.044424923,3.222215225,4.432038318,5.65439416,4.875611615,6.631445579,6.081415251,4.093677813,-3.855380572,2.194519525,3.056956374,0.667114416,1.180284838,
Europe and Central Asia (IFC classification),CEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,4.075442563,3.20050869,3.049907579,1.454907823,-7.283174541,-1.403676042,2.43365209,0.409083757,2.491512144,4.601977372,1.60133587,-1.309417441,0.639079458,3.008456411,3.673595918,1.85863279,1.585478167,3.277596252,4.330794053,3.674625633,-0.915816571,-0.043732993,-0.125983546,1.269757697,0.480866444,0.48467235,2.042216776,2.734192151,1.39609717,3.671187982,1.243151596,0.18536987,0.021085753,2.421136056,2.694952122,3.751556745,3.845718067,2.164255988,-1.936830719,2.953221916,1.790282415,1.049093458,1.927739643,
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,,,,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.049930947,5.193079542,6.116564835,2.667871666,0.417175016,10.00160606,3.640783319,3.751679076,3.471317248,2.122519603,9.017964832,-0.819195515,-4.941100699,2.493844515,-11.36278013,3.406383573,8.697440297,7.462926811,8.682319916,8.148606529,4.737311069,-10.32323245,-3.786572328,7.973341573,7.119228429,5.5963533,6.594214893,7.311201451,10.56032523,3.697579901,7.969988372,12.27793063,6.986286682,5.708119098,10.62757722,7.413491523,6.605579633,3.230878709,-0.760854812,4.495792997,3.348180391,2.166908634,3.956748481,6.041086739,5.559452531,4.40497269,5.1608256,3.292454888,-1.036430936,5.762971568,5.838935066,5.381756367,4.074713728,
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.3,-27.3,-5.6,10.2,18.3,17,10.7,-5.7,-4.1,16.9,19.4,7,3.8,7.9,2.3,8.7,-1.6,7.6,11.669919,7.572854,7.841442,5.24311,9.056871,10.852979,15.176021,13.466193,8.846377,11.583264,11.280584,4.063203,3.839025,9.178937,14.240706,13.964315,13.080682,10.92498,10.008523,9.297034,7.833347,7.619836,8.300318,9.082068,10.025379,10.08504,11.310035,12.676534,14.162395,9.634668,9.214199,10.446989,9.299885,7.652553,7.671191,
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.932555161,1.226994487,14.49035586,17.61308783,-3.109654277,11.57735969,4.598151783,12.54824864,9.53921877,10.37503185,9.45663766,4.236625014,5.939197535,4.327380858,8.252886371,12.91639744,7.314459156,10.90945365,2.394407465,-10.95769727,3.500498908,0.200822352,-3.900240443,-2.701261433,4.501223174,3.259348769,-0.34897291,1.136483963,2.948004944,-1.095908412,0.040925169,-0.244560612,-0.192485101,0.811206687,7.125744722,7.729327422,5.719058597,4.752475248,1.586447579,-3.700204692,-0.021230471,-1.430808153,-1.555364663,1.793855153,1.255967959,0.683970709,1.714412159,2.21343463,3.648483968,2.362457855,-4.720846429,9.496,8.699,
Latin America and the Caribbean (IFC classification),CLA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
